title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
David Cross: Making America Great Again!,TV,2016,TV-MA,UltraHD,David Cross,Alex Coletti,,6.4,73,80108759,2016-08-05,"Cross skewers Donald Trump, religious taboos and American swagger in a provocative night of comedy at the Paramount Theatre in Austin, Texas.",1,english
Dawai Asmara,TV,2016,TV-14,SuperHD,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman",,,,,80180711,2017-12-11,"Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.",0,other
Dawn of the Croods,TV,2015,TV-G,SuperHD,"Stephanie Lemelin, A.J. LoCascio, Dan Milano, Grey DeLisle",,,6.0,,80049870,2015-12-24,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures.",0,english
Dawson\'s Creek,TV,1998–2003,TV-14,,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson",N/A,"Drama, Romance",,60 min,70157460,2020-11-01,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.

",0,english
Day and Night,TV,2017,TV-MA,SuperHD,"Pan Yueming, Wang Longzheng, Liang Yuen, Lü Xiaolin",,,8.4,,80222788,2018-03-23,A detective with a strong fear of the dark swaps places with his fugitive twin brother every night in order to investigate a series of brutal murders.,0,mandarin
Daybreak,TV,2019,TV-MA,UltraHD,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute",,,6.7,,80197462,2019-10-24,"Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",1,english
Days We Stared at the Sun,TV,2010,TV-MA,SuperHD,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley",,,7.9,,80233664,2018-03-31,A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.,0,mandarin
DC Super Hero Girls,TV,2019,TV-G,SuperHD,"Grey Griffin, Tara Strong, Nicole Sullivan, Kari Wahlgren",,,6.0,,81145135,2019-08-12,"As Metropolis High students, super teens Wonder Woman, Supergirl, Bumblebee, Batgirl, Zatanna, and Green Lantern fight crime, classwork and crushes.",0,english
DC's Legends of Tomorrow,TV,2016,TV-14,SuperHD,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh",,,6.8,,80066080,2016-10-13,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",0,english
Dead Kids,TV,2019,TV-MA,UltraHD,"Khalil Ramos, Vance Larena, Kelvin Miranda, Jan Silverio",Mikhail Red,,5.5,94,81165325,2019-12-01,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.,1,other
Dead Set,TV,2008,TV-MA,SuperHD,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall",,,7.7,,70229514,2016-09-01,"While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",0,english
Dead to Me,TV,2019,TV-MA,UltraHD,"Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins",,,8.1,,80219707,2019-05-03,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,1,english
Deadcon,TV,2019,TV-14,SuperHD,"Lauren Elizabeth, Claudia Sulewski, Keith Machekanyanga, Mimi Gianopulos",Caryn Waechter,,2.8,77,81147285,2020-01-16,"A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise.",0,english
Deadly Detention,TV,2017,TV-14,SuperHD,"Alex Frnka, Sarah Davenport, Henry Zaga, Coy Stewart",Blair Hayes,,3.4,85,81050194,2019-02-15,Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them.,0,english
Deadly Scholars,TV,2018,TV-14,SuperHD,"Kennedy Lea Slocum, Corey Fogelmanis, Alexa Mansour, Peyton Clark",Danny J. Boyle,,4.0,85,81050193,2019-02-15,"After a series of strange deaths, a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship.",0,english
Deadwind,TV,20182020,TV-MA,,"Pihla Viitala, Lauri Tilkanen, Mimosa Willamo, Noa Tola",,"Crime, Drama, Mystery, Thriller",7.2,45 min,80243728,2020-07-01,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.",0,other
Deaf U,TV,2020–,TV-MA,,N/A,N/A,"Drama, Reality-TV",,N/A,81035566,2020-10-09,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University.",0,english
Dear Dad,TV,2016,TV-14,SuperHD,"Arvind Swamy, Himanshu Sharma, Ekavali Khanna, Aman Uppal",Tanuj Bhramar,,6.4,83,80207444,2019-03-02,"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade.",0,hindi
Dear Ex,TV,2018,TV-MA,SuperHD,"Roy Chiu, Hsieh Ying-xuan, Joseph Huang, Spark Chen","Hsu Chih-yen, Mag Hsu",,7.4,99,81045891,2019-02-01,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad.",0,mandarin
Dear My Friends ,TV,2016,TV-MA,,"Hyun-Jung Go, Hyeon Ju, Hye-ja Kim, Young-ok Kim",,"Comedy, Drama",8.3,70 min,81267633,2020-06-01,Life is ever-delightful -- and ever-challenging -- for a group of friends in their twilight years as they rediscover themselves through love and family.,0,korean
Dear White People,TV,2017,TV-MA,UltraHD,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson",,,6.2,,80095698,2017-04-28,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",1,english
Dear Zindagi,TV,2016,TV-14,SuperHD,"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Yashaswini Dayama",Gauri Shinde,,7.6,149,80158042,2017-04-25,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity.,0,hindi
